source,target,type,name,distance,type_num,node_type_num,node_tg_type_num,cluster_distance,cluster_type,cluster_across
59,1374,road,None,0.941179354,1,1,1,2,1,0
59,11828,crosslayer,None,0.541290509,4,1,4,2,4,1
59,11829,crosslayer,None,0.072030115,4,1,4,2,4,1
60,1988,road,D120,0.506377723,1,1,1,2,1,0
60,7832,road,D120,0.126482699,1,1,1,2,1,0
61,7826,road,None,0.283244674,1,1,1,2,1,0
61,7947,road,None,0.778363371,1,1,1,2,1,0
62,9091,road,None,0.212800278,1,1,1,2,1,0
62,3962,road,None,0.279099312,1,1,1,2,1,0
62,12225,crosslayer,None,0.740024303,4,1,4,2,4,1
63,6550,road,D74A,0.058787907,1,1,1,2,1,0
63,12093,crosslayer,None,0.7771601,4,1,4,2,4,1
64,3579,road,None,0.70183796,1,1,1,2,1,0
65,5969,road,None,0.550975524,1,1,1,2,1,0
65,11908,crosslayer,None,0.366493773,4,1,4,2,4,1
65,11948,crosslayer,None,0.527322184,4,1,4,2,4,1
66,2809,road,D5,0.485167645,1,1,1,2,1,0
67,6338,road,D23,0.418567395,1,1,1,2,1,0
67,6656,road,D58,1.1302851,1,1,1,2,1,0
68,4248,road,N7,0.571194689,1,1,1,2,1,0
69,11430,train,RER C,1.904746357,2,2,2,1,2,0
70,10372,road,D34A,0.618379628,1,1,1,2,1,0
71,9466,road,None,3.750878831,1,1,1,0,1,0
71,10440,road,D148,1.318322943,1,1,1,2,1,0
72,4845,road,D18,1.383712485,1,1,1,1,1,0
73,8320,road,D63E2,2.574191317,1,1,1,1,1,0
74,2152,road,D18,0.186493118,1,1,1,2,1,0
74,2773,road,D62,3.401885636,1,1,1,1,1,0
75,1415,road,D90,1.305756304,1,1,1,2,1,0
76,6165,road,D74,0.085316828,1,1,1,2,1,0
76,7922,road,D74,2.300067207,1,1,1,1,1,0
77,6162,road,None,0.603731574,1,1,1,2,1,0
77,4008,road,None,0.363630638,1,1,1,2,1,0
78,2023,road,None,0.287515133,1,1,1,2,1,0
78,6983,road,None,0.301982949,1,1,1,2,1,0
78,12084,crosslayer,None,0.441458878,4,1,4,2,4,1
78,12138,crosslayer,None,0.950563932,4,1,4,2,4,1
79,8700,road,D10P,0.430252158,1,1,1,2,1,0
79,6950,road,D418,0.401950945,1,1,1,2,1,0
80,8330,road,None,0.257478328,1,1,1,2,1,0
80,11856,crosslayer,None,0.096415786,4,1,4,2,4,1
80,11857,crosslayer,None,0.3527343,4,1,4,2,4,1
80,12165,crosslayer,None,0.29624937,4,1,4,2,4,1
80,11961,crosslayer,None,1.093899064,4,1,4,2,4,1
81,810,road,None,0.088422725,1,1,1,2,1,0
81,6193,road,None,0.514364814,1,1,1,2,1,0
81,11753,crosslayer,None,0.325085428,4,1,4,2,4,1
81,11818,crosslayer,None,0.578416784,4,1,4,2,4,1
81,11919,crosslayer,None,0.352236137,4,1,4,2,4,1
81,11985,crosslayer,None,0.00966729,4,1,4,2,4,1
81,12004,crosslayer,None,0.127266321,4,1,4,2,4,1
81,12160,crosslayer,None,0.552567015,4,1,4,2,4,1
82,169,road,None,0.606003991,1,1,1,2,1,0
82,7922,road,D307,1.034901708,1,1,1,2,1,0
83,11241,road,None,0.230161569,1,1,1,2,1,0
84,1273,road,None,0.055107433,1,1,1,2,1,0
84,12114,crosslayer,None,0.56083007,4,1,4,2,4,1
85,6224,road,None,0.151993713,1,1,1,2,1,0
85,7688,road,N186,0.463470615,1,1,1,2,1,0
85,12183,crosslayer,None,0.579954409,4,1,4,2,4,1
86,6226,road,A186,0.725259509,1,1,1,2,1,0
86,9900,road,A186,0.653340364,1,1,1,2,1,0
87,5191,road,None,0.342923732,1,1,1,2,1,0
87,2002,road,None,0.424080407,1,1,1,2,1,0
87,11703,crosslayer,None,0.302890078,4,1,4,2,4,1
87,11916,crosslayer,None,0.369313371,4,1,4,2,4,1
88,9305,road,None,0.37105381,1,1,1,2,1,0
89,6628,road,None,0.175570997,1,1,1,2,1,0
89,1271,road,None,1.854574003,1,1,1,1,1,0
89,11872,crosslayer,None,0.12826695,4,1,4,2,4,1
89,12138,crosslayer,None,0.198048805,4,1,4,2,4,1
90,6226,road,None,0.248790651,1,1,1,2,1,0
90,7899,road,D36BIS,0.090433451,1,1,1,2,1,0
91,4038,road,None,0.156207774,1,1,1,2,1,0
91,3597,road,None,0.316948595,1,1,1,2,1,0
91,11849,crosslayer,None,0.258110156,4,1,4,2,4,1
91,11851,crosslayer,None,0.318295137,4,1,4,2,4,1
91,11926,crosslayer,None,0.452961496,4,1,4,2,4,1
91,12088,crosslayer,None,0.694154424,4,1,4,2,4,1
91,12188,crosslayer,None,0.793502913,4,1,4,2,4,1
92,870,road,None,0.074529994,1,1,1,2,1,0
92,1271,road,None,0.150239925,1,1,1,2,1,0
92,11959,crosslayer,None,0.37543121,4,1,4,2,4,1
92,11961,crosslayer,None,0.563311275,4,1,4,2,4,1
92,12165,crosslayer,None,0.848095007,4,1,4,2,4,1
92,11961,crosslayer,None,0.563311275,4,1,4,2,4,1
93,1270,road,N34,0.335823306,1,1,1,2,1,0
93,10910,road,N302,1.676855209,1,1,1,1,1,0
94,8416,road,A4,2.702558718,1,1,1,1,1,0
94,3980,road,D231,0.064530907,1,1,1,2,1,0
95,2053,road,None,0.368880579,1,1,1,2,1,0
96,11117,road,None,0.434460176,1,1,1,2,1,0
97,695,road,D140,1.986509075,1,1,1,1,1,0
98,9315,road,D44E3,0.612840223,1,1,1,2,1,0
98,9315,road,D370,0.612840223,1,1,1,2,1,0
98,12148,crosslayer,None,0.539343308,4,1,4,2,4,1
99,7219,road,A3,0.926103555,1,1,1,2,1,0
100,9842,road,D392,0.574417116,1,1,1,2,1,0
100,4457,road,A15,3.154089309,1,1,1,1,1,0
101,3570,road,D97,4.108242151,1,1,1,0,1,0
101,919,road,D27,0.384568086,1,1,1,2,1,0
102,5380,road,N13,0.035744834,1,1,1,2,1,0
103,4407,road,D130,3.393028366,1,1,1,1,1,0
104,5942,road,D113,0.989322808,1,1,1,2,1,0
