source,target,type,name,node_lat,node_lon,node_tg_lat,node_tg_lon,node_type,node_tg_type,distance,type_num,node_type_num,node_tg_type_num
27.0,5897.0,road,D88,1.999007,49.029074,1.99567,49.037795,road,road,1.0377473005098652,1,1,1
27.0,8486.0,road,None,1.999007,49.029074,2.000473,49.034967,road,road,0.6748562807695037,1,1,1
28.0,11378.0,train,RER C,2.230871,48.740645,2.258225,48.7259,train,train,3.4547869121499057,2,2,2
28.0,11458.0,train,RER C,2.230871,48.740645,2.215508,48.751191,train,train,2.0715484094091265,2,2,2
29.0,1447.0,road,None,1.734271,48.992873,1.73151,48.995421,road,road,0.4176770382997094,1,1,1
30.0,8054.0,tram,T1,2.321749,48.934617,2.31324,48.933937,tram,tram,0.9491692006994566,5,5,5
30.0,11336.0,tram,T1,2.321749,48.934617,2.327128,48.935011,tram,tram,0.5997172544375741,5,5,5
31.0,11298.0,metro,M12,2.301292,48.839578,2.29663,48.837321,metro,metro,0.5758576461799767,3,3,3
32.0,8701.0,road,None,2.30281,48.842614,2.311115,48.845,road,road,0.9607704738429816,1,1,1
32.0,9043.0,road,None,2.30281,48.842614,2.293332,48.843557,road,road,1.0591006125152362,1,1,1
32.0,5797.0,road,None,2.30281,48.842614,2.301513,48.847917,road,road,0.606584794855732,1,1,1
32.0,11746.0,crosslayer,None,2.30281,48.842614,2.301292,48.839578,road,crosslayer,0.3771909667166114,4,1,4
33.0,1202.0,road,None,2.110654,48.841416,2.112874,48.842228,road,road,0.26282606226688,1,1,1
33.0,4664.0,road,N186,2.110654,48.841416,2.110238,48.843158,road,road,0.1990204273229819,1,1,1
34.0,9035.0,road,A12,2.102041,48.841356,2.096716,48.842337,road,road,0.602063742202118,1,1,1
34.0,35.0,road,A13,2.102041,48.841356,2.098844,48.841346,road,road,0.3554919171933485,1,1,1
35.0,5723.0,road,A13,2.098844,48.841346,2.096455,48.841422,road,road,0.2657788864176555,1,1,1
36.0,31.0,metro,M12,2.308012,48.841512,2.301292,48.839578,metro,metro,0.7775118497512492,3,3,3
37.0,5749.0,road,D33,2.527771,48.667392,2.527382,48.678431,road,road,1.2270492206243484,1,1,1
37.0,3306.0,road,None,2.527771,48.667392,2.53567,48.670611,road,road,0.948330047933934,1,1,1
38.0,409.0,road,D25,2.326959,48.666405,2.325534,48.66708,road,road,0.1753039896090722,1,1,1
38.0,12200.0,crosslayer,None,2.326959,48.666405,2.331806,48.66937,road,crosslayer,0.6316626594854252,4,1,4
39.0,4333.0,tram,T7,2.352779,48.741737,2.353262,48.746061,tram,tram,0.4833942713345838,5,5,5
39.0,11371.0,tram,T7,2.352779,48.741737,2.360061,48.739946,tram,tram,0.8338120634681385,5,5,5
40.0,4364.0,road,D446,2.22797,48.643325,2.220624,48.646745,road,road,0.9009019356799828,1,1,1
40.0,991.0,road,None,2.22797,48.643325,2.242528,48.656021,road,road,2.1471811721068854,1,1,1
41.0,2777.0,road,D211,2.898285,48.64577,2.901899,48.647594,road,road,0.4500229932464845,1,1,1
42.0,5142.0,road,D403,3.403801,48.645115,3.406175,48.647927,road,road,0.408788096657192,1,1,1
43.0,6316.0,road,N6,2.446533,48.746253,2.444241,48.755246,road,road,1.0310599162348066,1,1,1
43.0,12021.0,crosslayer,None,2.446533,48.746253,2.438482,48.744767,road,crosslayer,0.9103244606855958,4,1,4
44.0,9628.0,road,D929,2.298005,49.147819,2.295152,49.152064,road,road,0.5684083865753838,1,1,1
45.0,10841.0,road,None,2.260102,48.745158,2.261862,48.747548,road,road,0.3298726325530381,1,1,1
46.0,9761.0,road,D58,1.963685,48.742953,1.967393,48.759185,road,road,1.8503755862658997,1,1,1
47.0,3182.0,road,None,2.264984,48.834203,2.26522,48.834461,road,road,0.0388635449700155,1,1,1
47.0,12006.0,crosslayer,None,2.264984,48.834203,2.270471,48.839071,road,crosslayer,0.8153514605283841,4,1,4
47.0,12087.0,crosslayer,None,2.264984,48.834203,2.263606,48.830008,road,crosslayer,0.4906385764465129,4,1,4
48.0,1180.0,metro,M5,2.386714,48.886963,2.392704,48.888543,metro,metro,0.6887999311179979,3,3,3
