node,lat,lon,city,city_num,state,state_num
799,47.43023,130.52175,Hegang City,284,Heilongjiang,17
2319,43.6456099999999,124.98872,Changchun City,136,Jilin,16
1974,43.71369,125.07453,Changchun City,136,Jilin,16
632,43.7805499999999,125.16404,Changchun City,136,Jilin,16
2258,43.8478599999999,125.28469,Changchun City,136,Jilin,16
3,44.0031899999999,125.357699999999,Changchun City,136,Jilin,16
839,42.2116809999999,127.418522,Fusong,287,Jilin,16
1629,42.4947299999999,128.026379999999,Antu County,180,Jilin,16
2470,42.784616,129.438464,Longjing City,430,Jilin,16
405,42.6210919999999,129.046971,Helong,431,Jilin,16
1268,42.571852,128.339004999999,Antu County,180,Jilin,16
310,41.88924,123.25576,Shenyang City,188,Liaoning,13
1457,41.8690489999999,123.285321999999,Shenyang City,188,Liaoning,13
638,41.834429,123.357375,Huanggu District,432,Liaoning,13
762,41.1675499999999,123.42883,Gongchangling District,433,Liaoning,13
1132,41.17038,123.52217,Liaoyang City,434,Liaoning,13
824,41.1813399999999,123.55878,Liaoyang City,434,Liaoning,13
309,40.3957899999999,117.31587,Chengde City,113,Hebei,4
370,40.40104,117.41253,Chengde City,113,Hebei,4
401,40.5207729999999,117.603877999999,Chengde City,113,Hebei,4
1510,40.5713099999999,117.69489,Chengde City,113,Hebei,4
66,40.60307,117.74119,Chengde City,113,Hebei,4
444,40.7345919999999,117.831098,Chengde County,201,Hebei,4
1140,40.77458,117.88141,Chengde County,201,Hebei,4
2054,40.8071709999999,117.975258,Chengde City,113,Hebei,4
54,40.8252799999999,118.04749,Chengde City,113,Hebei,4
55,40.838765,118.059211,Chengde City,113,Hebei,4
1708,40.78866,118.26503,Chengde County,201,Hebei,4
1396,40.7784199999999,118.35115,Chengde County,201,Hebei,4
1349,40.78575,118.40485,Chengde County,201,Hebei,4
64,40.7964199999999,118.48078,Chengde County,201,Hebei,4
641,40.8513409999999,118.550388,Chengde County,201,Hebei,4
1651,39.74994,115.95873,Fangshan District,435,Beijing,21
404,39.64737,115.58934,Fangshan District,435,Beijing,21
2195,39.67159,115.454156,Baoding City,436,Hebei,4
1749,39.6838249999999,115.393193,Baoding City,436,Hebei,4
1819,39.67475,115.341179999999,Baoding City,436,Hebei,4
1736,39.6465299999999,115.28901,Baoding City,436,Hebei,4
1272,39.61401,115.25644,Baoding City,436,Hebei,4
428,39.54961,115.26271,Baoding City,436,Hebei,4
704,39.49076,115.23208,Baoding City,436,Hebei,4
1853,39.44879,115.171629999999,Baoding City,436,Hebei,4
655,39.4280309999999,115.091819,Baoding City,436,Hebei,4
608,39.4297699999999,115.00778,Baoding City,436,Hebei,4
1679,39.4014239999999,114.937431,Baoding City,436,Hebei,4
1523,39.3667469999999,114.832977,Baoding City,436,Hebei,4
395,39.4024509999999,114.62461,Baoding City,436,Hebei,4
1542,39.3717499999999,114.71243,Baoding City,436,Hebei,4
850,39.40198,114.62934,Baoding City,436,Hebei,4
1941,39.3937499999999,114.54781,Baoding City,436,Hebei,4
1096,39.40491,114.408959999999,Datong City,19,Shanxi,0
196,39.44868,114.3632,Datong City,19,Shanxi,0
649,39.480043,114.301347,Datong City,19,Shanxi,0
18,39.5794569999999,116.600066,Langfang City,16,Hebei,4
2009,39.44001,116.84482,Langfang City,16,Hebei,4
2087,39.39717,116.94963,Wuqing District,117,Tianjin,3
614,46.6413269999999,124.849287,Ranghulu,437,Heilongjiang,17
366,46.4052539999999,124.80012,Honggang District,161,Heilongjiang,17
482,37.92123,112.2311,Taiyuan City,0,Shanxi,0
483,37.91794,112.16468,Taiyuan City,0,Shanxi,0
2236,37.956868,112.061513,Taiyuan City,0,Shanxi,0
739,37.13982,111.77486,Xiaoyi,438,Shanxi,0
1719,37.1342199999999,111.71144,Xiaoyi,438,Shanxi,0
1632,39.4623599999999,114.22194,Datong City,19,Shanxi,0
926,39.3267,113.97794,Datong City,19,Shanxi,0
237,39.06689,112.95996,Dai,439,Shanxi,0
1813,39.08268,112.199479999999,Shenchi,440,Shanxi,0
207,38.9172599999999,111.83399,Wuzhai,441,Shanxi,0
873,38.71847,111.58174,Kelan,442,Shanxi,0
782,38.4788599999999,112.96096,Dingxiang,443,Shanxi,0
383,40.6105469999999,109.751452,Baotou City,23,Inner Mongolia,5
543,40.62622,109.44246,Jiuyuan District,444,Inner Mongolia,5
1723,40.6280799999999,109.29622,Jiuyuan District,444,Inner Mongolia,5
157,40.6571599999999,108.77821,Urad Front Banner,24,Inner Mongolia,5
577,40.8705,107.71254,天吉太镇,445,Inner Mongolia,5
2500,40.6632159999999,109.746945,Baotou City,23,Inner Mongolia,5
