node,lat,lon,geometry,city,state
2145,27.08117,103.8869,POINT (103.8869 27.08117),,Guizhou
1950,27.265851,103.848057,POINT (103.848057 27.265851),,Guizhou
1191,27.340855,103.817173999999,POINT (103.817173999999 27.340855),Zhaotong City,Yunnan
1977,26.49229,105.10927,POINT (105.10927 26.49229),Shuicheng,Guizhou
164,43.76885,87.59157,POINT (87.59157 43.76885),Ürümqi,Xinjiang
162,43.869911,87.4215039999999,POINT (87.4215039999999 43.869911),Ürümqi,Xinjiang
1684,44.2492799999999,86.1963099999999,POINT (86.1963099999999 44.2492799999999),,Xinjiang
1779,44.2697399999999,86.06323,POINT (86.06323 44.2697399999999),Corps 152th Regiment,Xinjiang
1469,44.3262799999999,85.61959,POINT (85.61959 44.3262799999999),Shawan,Xinjiang
707,44.4037799999999,84.90062,POINT (84.90062 44.4037799999999),,Xinjiang
1850,44.63633,83.02518,POINT (83.02518 44.63633),Jinghe,Xinjiang
454,44.9321899999999,82.6508599999999,POINT (82.6508599999999 44.9321899999999),Shuanghe City,Xinjiang
2304,45.17103,82.5729999999999,POINT (82.5729999999999 45.17103),Alashankou City,Xinjiang
1849,44.606073,82.920586,POINT (82.920586 44.606073),Jinghe,Xinjiang
859,43.9667999999999,82.04918,POINT (82.04918 43.9667999999999),,Xinjiang
906,43.899462,81.795207,POINT (81.795207 43.899462),,Xinjiang
242,43.9549799999999,81.50239,POINT (81.50239 43.9549799999999),Yining,Xinjiang
243,43.96757,81.2782299999999,POINT (81.2782299999999 43.96757),Yining City,Xinjiang
2333,44.1911869999999,80.421149,POINT (80.421149 44.1911869999999),Korgas City,Xinjiang
