node,lat,lon,city,state,state_num,degree,Degree_Centrality,Clustering_Coefficients,Closeness_Centrality,Betweenness_Centrality,Eigenvector_Centrality,cluster_degree,cluster_state_degree,cluster_Degree_Centrality,cluster_state_Degree_Centrality,cluster_Clustering_Coefficients,cluster_state_Clustering_Coefficients,cluster_Closeness_Centrality,cluster_state_Closeness_Centrality,cluster_Betweenness_Centrality,cluster_state_Betweenness_Centrality,cluster_Eigenvector_Centrality,cluster_state_Eigenvector_Centrality
1675,40.27237,97.04461,Chengde City,Hebei,2,14,0.005150846,0.021084375,0.000430673,0.03955497,2.63E-05,18,4,17,4,17,18,1,1,1,0,1,1
1539,36.34105,102.86546,Yi'an,Heilongjiang,2,10,0.003679176,0.027472242,0.000529086,0.000593787,0.001457556,22,7,21,7,15,13,1,0,1,1,1,1
1715,40.43071,96.86975,Keshan,Heilongjiang,2,11,0.004047093,0.029771079,0.000426451,0.002225321,3.02E-05,21,6,20,6,14,11,1,1,1,1,1,1
249,40.142711,97.242965,Zhaolin Street Office,Heilongjiang,2,5,0.001839588,0.044610541,0.000434632,0.010857375,1.94E-05,27,14,26,14,10,3,1,1,1,1,1,1
1504,35.351571,107.375865,Zhao Guang Farm,Heilongjiang,2,4,0.00147167,0,0.000710767,0.059722374,6.30E-07,28,16,27,16,27,27,0,0,0,0,1,1
2256,35.3142,107.75194,Hailun,Heilongjiang,2,4,0.00147167,0,0.000712891,0.060331868,8.37E-10,28,16,27,16,27,27,0,0,0,0,1,1
2261,35.278781,107.826249,Suiling,Heilongjiang,2,4,0.00147167,0,0.000715026,0.060941095,5.37E-10,28,16,27,16,27,27,0,0,0,0,1,1
1692,40.56739,95.77351,Fengcheng City,Liaoning,2,6,0.002207506,0.014456855,0.000407949,0.000624974,3.44E-06,26,13,25,13,20,21,1,1,1,1,1,1
1105,40.1683,94.7845,Fengcheng City,Liaoning,2,4,0.00147167,0,0.000391588,0,6.23E-05,28,16,27,16,27,27,1,1,1,1,1,1
683,39.134968,117.209465,Fengcheng City,Liaoning,3,56,0.020603385,0.010867878,0.000802812,0.120131972,0.073860823,2,0,2,0,21,10,0,0,0,0,1,0
2357,38.93276,116.93015,Fengcheng City,Liaoning,3,10,0.003679176,0.022858828,0.000784423,0.002548567,0.001694488,22,4,21,4,16,7,0,1,1,1,1,1
1250,39.14237,117.00227,Nanfen District,Liaoning,3,8,0.002943341,0.021824208,0.0007939,0.001931706,0.000689543,24,6,23,6,17,8,0,0,1,1,1,1
1248,39.35428,117.06468,Donggang District,Shandong,3,7,0.002575423,0.010648783,0.000798704,0.014713762,0.001222447,25,7,24,7,22,11,0,0,1,1,1,1
684,39.156879,117.163315,Linyi City,Shandong,3,26,0.009565857,0.020445576,0.00080316,0.117761269,0.046779836,10,1,10,1,17,9,0,0,0,0,1,0
611,39.02717,117.64178,Lanshan District,Shandong,3,3,0.001103753,0.037536359,0.000778366,0.00018511,0.000685825,29,11,28,11,12,2,0,1,1,1,1,1
1979,39.212426,117.739084,Feixian,Shandong,3,2,0.000735835,0.027957182,0.00076285,0,0.00127523,29,12,29,12,15,6,0,1,1,1,1,1
2087,39.39717,116.94963,Pingyi County,Shandong,3,4,0.00147167,0,0.000797249,0.007384844,3.78E-06,28,10,27,10,27,12,0,0,1,1,1,1
