st_id,st_tg,train,train_max_speed,st_id_state_num,st_tg_state_num,cluster_speed,cluster_across,cluster_overnight,cluster_distance
1248,983,1462,100,3,4,0,1,0,2
1171,1963,K1557,120,6,6,1,0,0,2
1576,170,D5432,260,9,9,3,0,0,2
1422,2310,G6328,350,12,12,4,0,0,2
2274,259,K690,120,0,0,1,0,0,2
1171,1963,T7787,160,6,6,2,0,0,2
1248,983,K608,120,3,4,1,1,0,2
1255,1045,D2223,260,9,9,3,0,0,2
1422,2310,G6324,350,12,12,4,0,0,2
1963,1171,K807,120,6,6,1,0,0,2
1228,1340,K7376,120,16,16,1,0,0,2
1562,2038,K918,120,4,4,1,0,0,2
2179,1146,K1201,120,14,6,1,1,0,2
2083,211,K1201,120,14,14,1,0,0,2
2083,211,K1067,120,14,14,1,0,0,2
1422,2310,D2314,260,12,12,3,0,0,2
1422,2310,G6325,350,12,12,4,0,0,2
2557,2665,D3648,260,20,20,3,0,0,2
1248,983,K7745,120,3,4,1,1,0,2
1045,1255,G7669,350,9,9,4,0,0,2
989,1057,T49,160,10,10,2,0,0,2
1562,2038,K976,120,4,4,1,0,0,2
1248,983,T5681,160,3,4,2,1,0,2
989,1057,D2242,260,10,10,3,0,0,2
1255,1045,G7692,350,9,9,4,0,0,2
1111,719,K8261,120,14,14,1,0,0,2
1981,754,K1137,120,19,19,1,0,0,2
2083,211,5019,100,14,14,0,0,0,2
1255,1045,G62,350,9,9,4,0,0,2
1748,1707,K9306,120,20,20,1,0,0,2
1198,1516,K1288,120,14,14,1,0,0,2
1045,1255,G1493,350,9,9,4,0,0,2
1255,1045,D656,260,9,9,3,0,0,2
561,752,1150,100,8,8,0,0,0,2
1576,170,G7662,350,9,9,4,0,0,2
1562,2038,K919,120,4,4,1,0,0,2
1562,2038,K728,120,4,4,1,0,0,2
561,752,K1026,120,8,8,1,0,0,2
980,1462,1455,100,4,4,0,0,0,2
1040,924,K1288,120,14,14,1,0,0,2
2179,1146,K1067,120,14,6,1,1,0,2
1248,983,T5684,160,3,4,2,1,0,2
1516,1198,K1286,120,14,14,1,0,0,2
1576,170,G7572,350,9,9,4,0,0,2
1171,1963,K1103,120,6,6,1,0,0,2
1564,2514,K1023,120,13,13,1,0,0,2
1255,1045,D273,260,9,9,3,0,0,2
2514,1564,K7426,120,13,13,1,0,0,2
1171,1963,K189,120,6,6,1,0,0,2
584,822,4076,100,17,17,0,0,0,2
2665,2557,D8283,260,20,20,3,0,0,2
2083,211,5018,100,14,14,0,0,0,2
298,67,4048,100,17,17,0,0,0,2
1963,1171,Z178,160,6,6,2,0,0,2
1707,1748,K9305,120,20,20,1,0,0,2
1340,1228,K1023,120,16,16,1,0,0,2
1171,1963,K2187,120,6,6,1,0,0,2
1171,1963,K8483,120,6,6,1,0,0,2
67,298,4047,100,17,17,0,0,0,2
989,1057,D2243,260,10,10,3,0,0,2
989,1057,D657,260,10,10,3,0,0,2
989,1057,D2259,260,10,10,3,0,0,2
1422,2310,G6332,350,12,12,4,0,0,2
561,752,K594,120,8,8,1,0,0,2
2038,1562,1488,100,4,4,0,0,0,2
1171,1963,K8432,120,6,6,1,0,0,2
1963,1171,K8431,120,6,6,1,0,0,2
2310,1422,D7413,260,12,12,3,0,0,2
989,1057,D2201,260,10,10,3,0,0,2
989,1057,D2206,260,10,10,3,0,0,2
1040,924,K293,120,14,14,1,0,0,2
1462,980,K275,120,4,4,1,0,0,2
306,320,5645,100,24,24,0,0,0,2
1422,2310,D3112,260,12,12,3,0,0,2
1171,1963,K152,120,6,6,1,0,0,2
1427,2041,K943,120,9,9,1,0,0,2
1171,1963,K8418,120,6,6,1,0,0,2
1057,989,D655,260,10,10,3,0,0,2
2310,1422,D3111,260,12,12,3,0,0,2
1562,2038,1502,100,4,4,0,0,0,2
1255,1045,G7636,350,9,9,4,0,0,2
1171,1963,K8419,120,6,6,1,0,0,2
924,1040,K552,120,14,14,1,0,0,2
2300,566,K9787,120,26,26,1,0,0,2
1171,1963,1462,100,6,6,0,0,0,2
989,1057,G307,350,10,10,4,0,0,2
1171,1963,K8356,120,6,6,1,0,0,2
259,2274,K2665,120,0,0,1,0,0,2
1963,1171,T203,160,6,6,2,0,0,2
1345,423,K9643,120,25,25,1,0,0,2
1516,1198,K711,120,14,14,1,0,0,2
1171,1963,K8372,120,6,6,1,0,0,2
1255,1045,D657,260,9,9,3,0,0,2
1057,989,D2234,260,10,10,3,0,0,2
989,1057,D2213,260,10,10,3,0,0,2
1564,2514,K7425,120,13,13,1,0,0,2
1171,1963,K376,120,6,6,1,0,0,2
1422,2310,G6309,350,12,12,4,0,0,2
1963,1171,K8420,120,6,6,1,0,0,2
1045,1255,G7609,350,9,9,4,0,0,2
1340,1228,K7425,120,16,16,1,0,0,2
1040,924,K346,120,14,14,1,0,0,2
989,1057,D2212,260,10,10,3,0,0,2
1963,1171,K8436,120,6,6,1,0,0,2
170,1576,G7575,350,9,9,4,0,0,2
298,67,6224,100,17,17,0,0,0,2
1171,1963,K8434,120,6,6,1,0,0,2
1963,1171,K8433,120,6,6,1,0,0,2
1576,170,D3120,260,9,9,3,0,0,2
1422,2310,D7402,260,12,12,3,0,0,2
1422,2310,D2298,260,12,12,3,0,0,2
1040,924,K551,120,14,14,1,0,0,2
1057,989,D2205,260,10,10,3,0,0,2
1255,1045,G7666,350,9,9,4,0,0,2
1040,924,K1338,120,14,14,1,0,0,2
1422,2310,D7105,260,12,12,3,0,0,2
2665,2557,D3633,260,20,20,3,0,0,2
1422,2310,D2296,260,12,12,3,0,0,2
170,1576,D3209,260,9,9,3,0,0,2
2557,2665,D3634,260,20,20,3,0,0,2
1422,2310,D2332,260,12,12,3,0,0,2
1963,1171,K378,120,6,6,1,0,0,2
1228,1340,K216,120,16,16,1,0,0,2
924,1040,1229,100,14,14,0,0,0,2
1045,1255,G7685,350,9,9,4,0,0,2
1045,1255,G7655,350,9,9,4,0,0,2
1427,2041,G7368,350,9,9,4,0,0,2
1427,2041,K8372,120,9,9,1,0,0,2
1478,1107,K983,120,12,20,1,1,0,2
2310,1422,D681,260,12,12,3,0,0,2
1340,1228,K7369,120,16,16,1,0,0,2
1255,1045,G7649,350,9,9,4,0,0,2
1255,1045,G7686,350,9,9,4,0,0,2
989,1057,D2216,260,10,10,3,0,0,2
1171,1963,T205,160,6,6,2,0,0,2
1171,1963,K464,120,6,6,1,0,0,2
1422,2310,D7416,260,12,12,3,0,0,2
1171,1963,K516,120,6,6,1,0,0,2
1963,1171,T206,160,6,6,2,0,0,2
1057,989,D2202,260,10,10,3,0,0,2
1171,1963,K1506,120,6,6,1,0,0,2
1427,2041,D83,260,9,9,3,0,0,2
1228,1340,K78,120,16,16,1,0,0,2
1963,1171,K8355,120,6,6,1,0,0,2
989,1057,D2207,260,10,10,3,0,0,2
1107,1478,K1234,120,20,12,1,1,0,2
1963,1171,K2185,120,6,6,1,0,0,2
1171,1963,K8378,120,6,6,1,0,1,2
1576,170,G7682,350,9,9,4,0,0,2
1627,1783,K935,120,19,19,1,0,0,2
306,320,5648,100,24,24,0,0,0,2
980,1462,1458,100,4,4,0,0,0,2
983,1248,1461,100,4,3,0,1,0,2
2274,259,K2666,120,0,0,1,0,0,2
2665,2557,D8286,260,20,20,3,0,0,2
1171,1963,K1013,120,6,6,1,0,0,2
1107,1478,K1231,120,20,12,1,1,0,2
1344,1232,K7156,120,17,17,1,0,0,2
1197,1988,D3136,260,22,22,3,0,0,2
1255,1045,G7670,350,9,9,4,0,0,2
170,1576,D3203,260,9,9,3,0,0,2
1255,1045,G54,350,9,9,4,0,0,2
1562,2038,Y501,100,4,4,0,0,0,2
170,1576,G7681,350,9,9,4,0,0,2
1427,2041,G7366,350,9,9,4,0,0,2
1171,1963,K808,120,6,6,1,0,0,2
1107,1478,5505,100,20,12,0,1,0,2
1478,1107,K982,120,12,20,1,1,0,2
1040,924,K554,120,14,14,1,0,0,2
1478,1107,K9311,120,12,20,1,1,0,2
1576,170,G7506,350,9,9,4,0,0,2
1493,1555,K8599,120,6,6,1,0,0,2
1427,2041,G46,350,9,9,4,0,0,2
1963,1171,K50,120,6,6,1,0,0,2
924,1040,K295,120,14,14,1,0,0,2
1171,1963,K2186,120,6,6,1,0,0,2
1171,1963,K361,120,6,6,1,0,0,2
1963,1171,K47,120,6,6,1,0,0,2
561,752,K595,120,8,8,1,0,0,2
1333,1666,7521,100,2,2,0,0,0,2
1963,1171,K8377,120,6,6,1,0,0,2
1478,1107,5506,100,12,20,0,1,0,2
1963,1171,K8358,120,6,6,1,0,0,2
1562,2038,K725,120,4,4,1,0,0,2
1057,989,D2235,260,10,10,3,0,0,2
170,1576,G7684,350,9,9,4,0,0,2
1576,170,G7568,350,9,9,4,0,0,2
1427,2041,G7376,350,9,9,4,0,0,2
1340,1228,K215,120,16,16,1,0,0,2
170,1576,G7585,350,9,9,4,0,0,2
1057,989,G308,350,10,10,4,0,0,2
259,2274,K7807,120,0,0,1,0,0,2
1232,1344,K7077,120,17,17,1,0,0,2
1422,2310,G6312,350,12,12,4,0,0,2
989,1057,K8088,120,10,10,1,0,0,2
2083,211,K1204,120,14,14,1,0,0,2
1171,1963,T204,160,6,6,2,0,0,2
2179,1146,K1204,120,14,6,1,1,0,2
2323,1987,K693,120,15,23,1,1,0,2
1171,1963,K8357,120,6,6,1,0,0,2
2665,2557,D8282,260,20,20,3,0,0,2
1171,1963,K377,120,6,6,1,0,0,2
1045,1255,G45,350,9,9,4,0,0,2
1748,1707,K986,120,20,20,1,0,0,2
2557,2665,D8284,260,20,20,3,0,0,2
1040,924,K285,120,14,14,1,0,0,2
1255,1045,G7679,350,9,9,4,0,0,2
1171,1963,K782,120,6,6,1,0,0,2
1171,1963,K1012,120,6,6,1,0,0,2
1228,1340,K7370,120,16,16,1,0,0,2
2310,1422,G6315,350,12,12,4,0,0,2
1963,1171,K558,120,6,6,1,0,0,2
1555,1493,K8600,120,6,6,1,0,0,2
170,1576,G7680,350,9,9,4,0,0,2
1171,1963,K783,120,6,6,1,0,0,2
752,561,1554,100,8,8,0,0,0,2
1057,989,D2208,260,10,10,3,0,0,2
1045,1255,G57,350,9,9,4,0,0,2
2310,1422,G6314,350,12,12,4,0,0,2
989,1057,D2217,260,10,10,3,0,0,2
2300,566,7563,100,26,26,0,0,0,2
1057,989,K698,120,10,10,1,0,0,2
1057,989,D634,260,10,10,3,0,0,2
1562,2038,K973,120,4,4,1,0,0,2
1228,1340,K75,120,16,16,1,0,0,2
561,752,K718,120,8,8,1,0,0,2
1963,1171,K469,120,6,6,1,0,0,2
1045,1255,G63,350,9,9,4,0,0,2
1040,924,K1335,120,14,14,1,0,0,2
2557,2665,D3617,260,20,20,3,0,0,2
1344,1232,K7153,120,17,17,1,0,0,2
2665,2557,D3641,260,20,20,3,0,0,2
1462,980,K274,120,4,4,1,0,0,2
924,1040,K1336,120,14,14,1,0,0,2
1171,1963,K48,120,6,6,1,0,0,2
1422,2310,D2306,260,12,12,3,0,0,2
2557,2665,D3642,260,20,20,3,0,0,2
1171,1963,T113,160,6,6,2,0,0,2
1963,1171,K375,120,6,6,1,0,0,2
924,1040,K553,120,14,14,1,0,0,2
1516,1198,K412,120,14,14,1,0,0,2
468,1063,D6220,260,22,22,3,0,0,2
2557,2665,D3645,260,20,20,3,0,0,2
1422,2310,D7106,260,12,12,3,0,0,2
1248,983,Y516,100,3,4,0,1,0,2
528,547,K7066,120,17,17,1,0,0,2
1963,1171,K151,120,6,6,1,0,0,2
1963,1171,K559,120,6,6,1,0,0,2
561,752,1303,100,8,8,0,0,0,2
1171,1963,K153,120,6,6,1,0,0,2
1045,1255,G53,350,9,9,4,0,0,2
1422,2310,D2302,260,12,12,3,0,0,2
1627,1783,K647,120,19,19,1,0,0,2
2389,132,K9662,120,2,2,1,0,0,2
2665,2557,D3614,260,20,20,3,0,0,2
1562,2038,K665,120,4,4,1,0,0,2
1422,2310,D2288,260,12,12,3,0,0,2
170,1576,D3205,260,9,9,3,0,0,2
1562,2038,1303,100,4,4,0,0,0,2
1576,170,G7573,350,9,9,4,0,0,2
561,752,K973,120,8,8,1,0,0,2
1963,1171,T7788,160,6,6,2,0,0,2
1171,1963,T112,160,6,6,2,0,0,2
1963,1171,T114,160,6,6,2,0,0,2
1963,1171,K462,120,6,6,1,0,0,2
2665,2557,D3616,260,20,20,3,0,0,2
2206,1303,6230,100,17,17,0,0,0,2
1045,1255,D658,260,9,9,3,0,0,2
1627,1783,K646,120,19,19,1,0,0,2
2557,2665,D3639,260,20,20,3,0,0,2
1963,1171,T111,160,6,6,2,0,0,2
1963,1171,1461,100,6,6,0,0,0,2
1340,1228,K7375,120,16,16,1,0,0,2
1171,1963,K8435,120,6,6,1,0,0,2
1963,1171,K2188,120,6,6,1,0,0,2
67,298,6223,100,17,17,0,0,0,2
1576,170,G7683,350,9,9,4,0,0,2
618,561,K290,120,8,8,1,0,0,2
1576,170,D3206,260,9,9,3,0,0,2
1783,1627,K648,120,19,19,1,0,0,2
2665,2557,D3610,260,20,20,3,0,0,2
132,2389,K9661,120,2,2,1,0,0,2
924,1040,K1337,120,14,14,1,0,0,2
1248,983,Y517,100,3,4,0,1,0,2
2665,2557,D3640,260,20,20,3,0,0,2
1783,1627,K645,120,19,19,1,0,0,2
924,1040,K286,120,14,14,1,0,0,2
1045,1255,G7684,350,9,9,4,0,0,2
132,2389,7507,100,2,2,0,0,0,2
1963,1171,K8417,120,6,6,1,0,0,2
1171,1963,K735,120,6,6,1,0,0,2
1562,2038,K1545,120,4,4,1,0,0,2
2557,2665,D3611,260,20,20,3,0,0,2
1171,1963,K372,120,6,6,1,0,0,2
1963,1171,K8364,120,6,6,1,0,0,2
1963,1171,K8365,120,6,6,1,0,0,2
2115,2322,4471,100,4,4,0,0,0,2
1335,1661,6252,100,17,17,0,0,0,2
1470,1652,5620,100,15,15,0,0,0,2
465,1049,K7807,120,0,0,1,0,0,2
1490,1492,K8599,120,7,6,1,1,0,2
2246,787,G7604,350,9,6,4,1,0,2
1045,1583,G7693,350,9,9,4,0,0,2
1375,1416,D5877,260,10,10,3,0,0,2
1038,966,D6392,260,11,11,3,0,0,2
297,37,K7359,120,13,13,1,0,0,2
1375,1416,D5867,260,10,10,3,0,0,2
1375,1416,D3278,260,10,10,3,0,0,2
1559,1558,D7405,260,12,12,3,0,0,2
683,1376,C2204,350,3,3,4,0,0,2
1376,683,C2217,350,3,3,4,0,0,2
2359,1529,K7521,120,13,13,1,0,0,2
2203,570,G7344,350,9,9,4,0,0,2
1375,1416,D5953,260,10,10,3,0,0,2
465,1049,2463,100,0,0,0,0,0,2
683,1376,C2206,350,3,3,4,0,0,2
1038,966,D6350,260,11,11,3,0,0,2
216,2478,K1137,120,11,11,1,0,0,2
2029,279,G6203,350,12,12,4,0,0,2
698,1351,K7808,120,0,0,1,0,0,2
1824,1820,D6449,260,22,22,3,0,0,2
215,354,2125,100,13,13,0,0,0,2
1846,1323,K9471,120,15,15,1,0,0,2
2359,1529,K187,120,13,13,1,0,0,2
1773,2497,4351,100,16,16,0,0,0,2
1376,683,C2219,350,3,3,4,0,0,2
1670,2311,K9313,120,20,20,1,0,0,2
1375,1416,G1032,350,10,10,4,0,0,2
1820,1824,D6408,260,22,22,3,0,0,2
1559,1558,D7415,260,12,12,3,0,0,2
1820,1824,D3305,260,22,22,3,0,0,2
354,215,2256,100,13,13,0,0,0,2
2359,1529,K7370,120,13,13,1,0,0,2
570,2203,D3210,260,9,9,3,0,0,2
375,2075,2668,100,17,5,0,1,0,2
1376,683,C2205,350,3,3,4,0,0,2
2359,1529,Z185,160,13,13,2,0,0,2
1049,465,6818,100,0,0,0,0,0,2
1384,317,K925,120,8,8,1,0,0,2
1773,2497,4356,100,16,16,0,0,0,2
570,2203,G7576,350,9,9,4,0,0,2
215,354,2255,100,13,13,0,0,0,2
966,1038,D6351,260,11,11,3,0,0,2
1583,1045,G256,350,9,9,4,0,0,2
2359,1529,K7382,120,13,13,1,0,0,2
1265,572,G7327,350,9,9,4,0,0,2
1416,1375,D5218,260,10,10,3,0,0,2
1375,1416,D5217,260,10,10,3,0,0,2
1558,1559,D7412,260,12,12,3,0,0,2
1045,1583,G168,350,9,9,4,0,0,2
1384,317,K245,120,8,8,1,0,0,2
37,297,K7360,120,13,13,1,0,0,2
317,1384,T325,160,8,8,2,0,0,2
1375,1416,D296,260,10,10,3,0,0,2
1375,1416,D5857,260,10,10,3,0,0,2
848,1166,K8177,120,1,1,1,0,0,2
1529,2359,K7359,120,13,13,1,0,0,2
317,1384,1563,100,8,8,0,0,0,2
2311,1670,K9311,120,20,20,1,0,0,2
1529,2359,K718,120,13,13,1,0,0,2
1559,1558,D7413,260,12,12,3,0,0,2
1529,2359,K929,120,13,13,1,0,0,2
354,215,K1312,120,13,13,1,0,0,2
1166,848,K8178,120,1,1,1,0,0,2
570,2203,G7512,350,9,9,4,0,0,2
1532,1256,G7311,350,9,9,4,0,0,2
787,2246,G7617,350,6,9,4,1,0,2
1670,2311,5505,100,20,20,0,0,0,2
1529,2359,2209,100,13,13,0,0,0,2
