node,lat,lon,state,state_num
2572,40.8622919999999,116.996638,Hebei,4
2405,37.60495,114.597399999999,Hebei,4
979,36.656677,114.291877,Hebei,4
1371,36.6770799999999,114.2121,Hebei,4
1795,36.59751,114.11815,Hebei,4
2294,36.737808,113.902883,Hebei,4
218,36.60521,113.72248,Hebei,4
1541,36.5849499999999,113.691419999999,Hebei,4
1125,36.63729,113.98244,Hebei,4
409,36.65187,114.155,Hebei,4
1003,37.1350699999999,112.07277,Shanxi,0
2288,38.0580599999999,112.68206,Shanxi,0
105,35.4271499999999,111.31227,Shanxi,0
2274,35.3561899999999,111.21679,Shanxi,0
934,40.06799,113.219928,Shanxi,0
1809,39.35981,112.55141,Shanxi,0
2089,38.303725,112.701402,Shanxi,0
940,38.2746089999999,112.596753,Shanxi,0
2397,38.16861,112.6926,Shanxi,0
690,37.91799,112.56605,Shanxi,0
1565,37.55744,112.31375,Shanxi,0
226,37.520985,112.195869,Shanxi,0
1110,37.43963,112.07763,Shanxi,0
1445,37.3728029999999,111.917171,Shanxi,0
518,37.56839,111.137829999999,Shanxi,0
1301,37.44391,110.931749999999,Shanxi,0
188,43.65749,111.987889999999,Inner Mongolia,5
2468,43.2340599999999,112.35625,Inner Mongolia,5
2104,42.74989,112.666659999999,Inner Mongolia,5
1234,42.39753,112.89905,Inner Mongolia,5
594,41.8511799999999,113.14509,Inner Mongolia,5
1744,41.45577,113.18486,Inner Mongolia,5
1423,34.16931,112.82776,Henan,8
449,32.99857,112.512069999999,Henan,8
427,33.4398899999999,112.74077,Henan,8
2410,33.7485,112.90338,Henan,8
947,33.855018,113.046732,Henan,8
1507,34.696769,112.486168,Henan,8
2162,32.6831699999999,112.07064,Henan,8
792,30.65822,111.37053,Hubei,10
2273,30.6260489999999,110.856776,Hubei,10
899,30.66283,110.35782,Hubei,10
989,30.56745,109.7279,Hubei,10
1057,30.3489399999999,109.485069999999,Hubei,10
766,32.7126499999999,109.017309999999,Shaanxi,1
1419,32.87669,108.506379999999,Shaanxi,1
1780,33.03829,108.24843,Shaanxi,1
2051,32.99439,107.76102,Shaanxi,1
603,33.13832,107.323809999999,Shaanxi,1
1415,33.09225,107.03027,Shaanxi,1
1199,33.112918,107.465746,Shaanxi,1
41,33.09919,107.96369,Shaanxi,1
1980,33.03951,108.05503,Shaanxi,1
1897,33.03181,108.154445999999,Shaanxi,1
2399,32.91275,108.41785,Shaanxi,1
1545,32.82799,108.594539999999,Shaanxi,1
101,37.45566,118.472359999999,Shandong,14
456,37.1358099999999,118.14261,Shandong,14
2018,36.39522,120.18398,Shandong,14
1994,36.8097199999999,120.51803,Shandong,14
1540,37.08111,120.99736,Shandong,14
1320,37.1946289999999,121.148535999999,Shandong,14
1641,37.54883,121.3822,Shandong,14
1932,36.29806,119.99926,Shandong,14
2083,36.06307,119.39,Shandong,14
211,35.8054899999999,119.207269999999,Shandong,14
1991,35.57997,118.83687,Shandong,14
1450,35.6439299999999,118.72722,Shandong,14
1449,35.48767,118.619879999999,Shandong,14
2342,36.1688869999999,120.375084,Shandong,14
194,25.9758299999999,115.41638,Jiangxi,11
2069,25.82695,115.785839999999,Jiangxi,11
1691,25.8633999999999,116.05551,Jiangxi,11
2262,25.82883,116.344269999999,Fujian,22
347,25.52429,116.67916,Fujian,22
53,25.1826399999999,116.73772,Fujian,22
2476,25.0963999999999,117.00653,Fujian,22
2325,25.24883,117.15279,Fujian,22
598,25.27043,117.19336,Fujian,22
1958,25.3118839999999,117.280058,Fujian,22
1615,25.3068899999999,117.41934,Fujian,22
1316,25.329235,110.301969,Guangxi,20
1317,25.261163,110.28411,Guangxi,20
2430,24.47978,109.746,Guangxi,20
2093,23.0989299999999,109.61318,Guangxi,20
323,22.73777,109.90672,Guangxi,20
1670,22.59728,110.15648,Guangxi,20
2311,22.30988,110.25807,Guangxi,20
1107,21.9515999999999,110.19883,Guangxi,20
1478,21.69633,110.301779999999,Guangdong Province,12
385,21.6528099999999,110.65176,Guangdong Province,12
1971,21.68089,110.84799,Guangdong Province,12
2596,22.75776,108.185925,Guangxi,20
2595,22.776636,108.106036,Guangxi,20
1083,22.62798,107.91937,Guangxi,20
2677,22.55986,107.79924,Guangxi,20
2676,22.520572,107.588893,Guangxi,20
2608,22.451339,107.508134,Guangxi,20
888,22.40387,107.35816,Guangxi,20
2731,22.309273,107.186826999999,Guangxi,20
2814,22.222871,107.194523,Guangxi,20
2630,22.189301,107.122504,Guangxi,20
748,22.1589199999999,107.0639,Guangxi,20
2760,22.12458,106.910039,Guangxi,20
358,22.08003,106.74262,Guangxi,20
2200,24.69949,108.065079999999,Guangxi,20
791,24.4789099999999,108.627309999999,Guangxi,20
982,21.61484,110.29679,Guangdong Province,12
2157,21.39827,110.26693,Guangdong Province,12
1586,21.1881449999999,110.387702,Guangdong Province,12
2192,29.607603,106.550847,Chongqing,23
2254,29.79007,106.9659,Chongqing,23
1547,29.6999299999999,107.33382,Chongqing,23
1800,29.637094,107.409698,Chongqing,23
1735,29.58982,107.447742,Chongqing,23
1730,29.516334,107.488893,Chongqing,23
1746,29.408387,107.585589,Chongqing,23
2404,29.381114,108.073711,Chongqing,23
1021,29.36146,108.23584,Chongqing,23
263,29.4391959999999,108.317868,Chongqing,23
2173,29.4980459999999,108.363054,Chongqing,23
919,29.482942,108.540695,Chongqing,23
1313,29.475694,108.736796,Chongqing,23
2467,29.44347,108.791349999999,Chongqing,23
2409,29.224817,108.835455999999,Chongqing,23
2269,29.087236,108.949269,Chongqing,23
1489,28.977435,108.943332,Chongqing,23
2187,28.8083199999999,108.96137,Chongqing,23
2480,28.598621,108.9976,Chongqing,23
